1,1,2,18
2,0,5,12
3,1,2,7
4,1,2,18
5,0,3,12
6,1,4,5
7,1,5,20
8,1,3,20
9,1,2,8
10,1,5,17
11,0,3,12
12,0,2,12
13,1,4,0
14,1,4,15
15,0,4,0
16,1,2,9
17,1,3,4
18,0,3,12
19,1,4,13
20,0,4,14
21,1,2,7
22,1,2,7
23,0,3,6
24,0,2,6
25,1,3,3
26,1,4,3
27,0,4,13
28,1,3,7
29,1,4,4
30,1,0,8
31,1,2,6
32,0,2,8
33,1,2,8
34,0,3,20
35,0,2,14
36,0,1,8
37,1,2,8
38,0,2,12
39,1,4,9
40,1,3,15
41,1,3,3
42,1,3,20
43,0,2,13
44,1,2,18
45,1,2,4
46,0,2,10
47,1,5,10
48,1,4,20
49,0,2,8
50,1,2,7
51,1,2,0
52,0,1,8
53,1,2,4
54,1,2,5
55,1,3,4
56,1,2,13
57,1,1,19
58,1,2,4
59,1,4,0
60,1,5,1
61,1,3,3
62,0,2,20
63,1,3,10
64,1,3,0
65,0,5,0
66,1,2,8
67,1,1,8
68,1,1,8
69,1,2,3
70,1,2,3
71,1,3,15
72,0,4,20
73,1,2,8
74,1,3,15
75,1,2,9
76,1,2,8
77,1,3,18
78,1,2,20
79,0,3,20
80,0,3,20
81,1,2,8
82,1,5,4
83,1,4,12
84,1,3,5
85,1,5,0
86,1,2,20
87,1,4,20
88,0,4,13
89,0,4,20
90,1,6,0
91,1,5,10
92,1,3,9
93,1,4,5
94,1,2,8
95,1,3,20
96,0,2,6
97,1,4,6
98,0,4,5
99,1,2,8
100,1,3,5
101,1,1,8
102,1,3,4
103,1,2,8
104,1,2,8
105,1,2,3
106,1,6,11
107,1,3,15
108,1,4,0
109,1,2,12
110,1,1,8
111,1,5,3
112,1,3,16
113,1,4,5
114,1,2,4
115,1,3,3
116,1,4,1
117,1,2,8
118,1,2,20
119,1,3,4
120,0,4,12
121,1,5,13
122,0,3,7
123,0,4,6
124,1,3,8
125,1,3,17
126,0,2,17
127,1,3,19
128,0,2,10
129,0,3,10
130,1,2,19
131,0,5,20
132,1,2,12
133,1,5,3
134,1,3,4
135,1,2,8
136,1,5,12
137,1,5,0
138,1,4,2
139,1,2,8
140,0,3,8
141,1,4,4
142,1,1,12
143,1,4,18
144,1,5,4
145,1,3,9
146,1,4,6
147,0,4,13
148,1,3,3
149,0,3,10
150,0,2,6
151,0,3,20
152,0,3,0
153,1,2,8
154,1,2,8
155,0,3,12
156,1,2,0
157,1,5,3
158,1,5,0
159,0,2,8
160,1,2,4
161,1,5,17
162,1,2,6
163,1,4,20
164,1,4,1
165,0,2,12
166,1,4,0
167,1,3,12
168,1,4,12
169,0,5,12
170,0,5,1
171,0,4,0
172,1,5,10
173,1,5,12
174,0,3,20
175,0,2,15
176,1,2,15
177,1,2,4
178,1,2,12
179,1,1,9
180,0,2,20
181,1,2,5
182,1,3,4
183,1,3,15
184,1,3,13
185,0,5,13
186,0,3,5
187,1,2,0
188,1,4,8
189,1,3,6
190,1,3,20
191,1,3,20
192,1,4,0
193,1,2,8
194,1,3,20
195,1,4,15
196,1,4,7
197,1,5,18
198,0,2,8
199,1,3,7
200,1,4,4
201,1,2,7
202,0,4,0
203,0,2,8
204,0,5,13
205,1,4,17
206,0,1,8
207,1,3,10
208,1,4,3
209,0,3,0
210,1,3,3
211,1,6,16
212,0,4,0
213,1,3,5
214,0,2,13
215,1,3,4
216,1,2,3
217,1,2,12
218,1,3,20
219,1,3,4
220,1,3,13
221,1,1,8
222,1,2,4
223,0,1,8
224,0,3,0
225,0,5,20
226,1,2,8
227,1,4,5
228,0,2,8
229,0,2,13
230,0,2,8
231,1,4,13
232,1,4,15
233,1,3,3
234,1,6,11
235,1,3,0
236,0,4,7
237,1,4,20
238,0,4,20
239,1,3,6
240,0,2,0
241,0,2,8
242,1,3,0
243,1,3,0
244,1,2,18
245,1,2,8
246,1,1,8
247,1,2,3
248,1,2,8
249,1,2,8
250,1,2,5
251,1,2,2
252,1,4,3
253,0,2,13
254,1,4,0
255,1,2,9
256,0,3,19
257,1,1,8
258,0,1,8
259,1,2,8
260,0,4,6
261,1,2,20
262,0,1,8
263,1,4,4
264,0,3,7
265,1,2,5
266,0,6,20
267,1,2,3
268,1,2,3
269,0,3,13
270,0,1,8
271,1,5,3
272,1,3,15
273,0,5,12
274,0,2,8
275,1,3,3
276,1,2,8
277,0,3,20
278,0,3,13
279,1,3,4
280,0,3,13
281,0,1,8
282,1,2,20
283,1,2,4
284,1,4,5
285,1,2,4
286,1,2,8
287,1,2,16
288,1,3,10
289,1,1,19
290,1,4,3
291,1,1,8
292,0,3,4
293,1,2,7
294,1,3,18
295,1,3,0
296,0,4,20
297,0,2,0
298,1,4,5
299,1,2,2
300,0,2,4
301,1,2,8
302,1,4,0
303,1,1,8
304,0,2,8
305,1,2,4
306,1,4,12
307,1,2,8
308,1,6,11
309,1,4,15
310,1,3,0
311,1,3,18
312,1,4,12
313,1,4,10
314,0,2,8
315,1,3,0
316,0,4,12
317,1,2,20
318,1,6,11
319,1,3,4
320,1,1,8
321,0,4,0
322,1,2,8
323,1,2,8
324,0,2,8
325,1,4,18
326,1,4,20
327,1,2,8
